Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
42 (tie),Tufts University,"Private School, Research University",62200,130300,0.54,0.24
45 (tie),Columbia University in the City of New York,"Ivy League, Private School, Research University, For Sports Fans",67500,130100,0.49,0.3
45 (tie),Pomona College,"Liberal Arts School, Private School",60600,130100,0.54,0.43
47,Rose-Hulman Institute of Technology,"Engineering, Private School",72600,130000,0.51,0.98
48,Amherst College,"Liberal Arts School, Private School",62400,129900,0.53,0.27
49,United States Coast Guard Academy,"Sober School, State School",64100,129800,0.67,N/A
50,Bucknell University,"Liberal Arts School, Party School, Private School, For Sports Fans",63400,129700,0.41,0.37
51,Cornell University,"Ivy League, Private School, Research University, For Sports Fans",67700,129600,0.49,0.43
52,Wesleyan University,"Liberal Arts School, Private School",57800,129400,0.6,0.22
53,"Union College - Schenectady, NY","Liberal Arts School, Private School",60100,128900,0.53,0.45
54,Virginia Military Institute,"Liberal Arts School, For Sports Fans, State School",63900,128200,0.63,0.43
55,California State University Maritime Academy,State School,64600,127800,0.53,0.19
56,College of the Holy Cross,"Liberal Arts School, Private School, Religious, For Sports Fans",57700,127300,0.48,0.22
57,Yeshiva University,"Private School, Research University",61100,127200,0.45,0.13
58,Bates College,"Liberal Arts School, Private School",57500,125900,0.55,0.26
59,Bowdoin College,"Liberal Arts School, Private School",57900,124500,0.51,0.35
60,University of Chicago,"Private School, Research University",59700,123800,0.49,0.2
61,University of Virginia-Main Campus,"Research University, For Sports Fans, State School",61200,123500,0.49,0.21
62,University of California-Irvine,"Research University, For Sports Fans, State School",56100,123000,0.49,0.32
63 (tie),New Jersey Institute of Technology,"Engineering, Research University, For Sports Fans, State School",61800,122800,0.52,0.71
63 (tie),University of Southern California,"Private School, Research University, For Sports Fans",60700,122800,0.48,0.24
65,The King's University,"Private School, Religious",58200,122700,N/A,0
66,MCPHS University,Private School,62500,122600,0.71,0.02
67,Kettering University,"Engineering, Private School",66900,122400,0.45,0.76
68,George Washington University,"Private School, Research University, For Sports Fans",57800,122300,0.48,0.14
69,Davidson College,"Liberal Arts School, Private School, Religious, For Sports Fans",56300,122100,0.58,0.24
70,University of California-Santa Barbara,"Party School, Research University, For Sports Fans, State School",56200,122000,0.49,0.28
71,Wake Forest University,"Party School, Private School, Research University, For Sports Fans",58100,121800,0.48,0.14
72,Manhattan College,"Private School, Religious, For Sports Fans",61600,121700,0.5,0.38
73,Fairfield University,"Private School, Religious, For Sports Fans",58900,121500,0.43,0.21
74 (tie),Johns Hopkins University,"Private School, Research University",65800,121100,0.61,0.33
74 (tie),Middlebury College,"Liberal Arts School, Private School",57800,121100,0.58,0.18
76,University of the Sciences,Private School,56200,121000,0.72,0.09
77,Vanderbilt University,"Private School, Research University, For Sports Fans",62600,120600,0.52,0.22
78,Illinois Institute of Technology,"Engineering, Private School, Research University, Sober School",62300,120400,0.5,0.6
79,University of California-Los Angeles,"Research University, For Sports Fans, State School",59400,119900,0.5,0.31
80,Villanova University,"Private School, Religious, Research University, For Sports Fans",62900,119800,0.44,0.23
81,New York University,"Private School, Research University",59800,119600,0.44,0.17
82,Northwestern University,"Private School, Research University, For Sports Fans",61400,119300,0.5,0.19
83 (tie),Bentley University,"Business, Private School",62900,119100,0.36,0.07
83 (tie),Franklin and Marshall College,"Liberal Arts School, Private School",55800,119100,0.46,0.21
85,Pennsylvania State University-Penn State Great Valley,"Business, State School",59700,119000,N/A,0.19
86 (tie),Boston College,"Private School, Religious, Research University, For Sports Fans",60500,118900,0.45,0.11
86 (tie),Maine Maritime Academy,"Engineering, State School",63400,118900,0.65,0.51
88,Washington University in St Louis,"Private School, Research University",62500,118800,0.48,0.31
89,Massachusetts Maritime Academy,State School,63100,118700,0.55,0.43
90,Loyola Marymount University,"Private School, Religious, For Sports Fans",54800,118300,0.42,0.1
91,New Mexico Institute of Mining and Technology,"Engineering, State School",61000,118100,0.58,0.88
92,Brandeis University,"Private School, Research University",57300,118000,0.48,0.26
93 (tie),Boston University,"Private School, Research University, For Sports Fans",57100,117900,0.45,0.23
93 (tie),Carleton College,"Liberal Arts School, Private School",55700,117900,0.51,0.4
95,Emory University,"Private School, Religious, Research University",58700,117800,0.48,0.21
96,California Polytechnic State University-San Luis Obispo,"For Sports Fans, State School",62200,117200,0.54,0.41
97,Menlo College,"Business, Private School",56400,116900,0.52,0
98 (tie),Embry-Riddle Aeronautical University-Prescott,Private School,61000,116800,0.55,0.39
98 (tie),Loyola University Maryland,"Private School, Religious, For Sports Fans",56400,116800,0.41,0.08
98 (tie),Missouri University of Science and Technology,"Engineering, Research University, State School",66000,116800,0.53,0.81
101 (tie),Saint Mary's College of California,"Private School, Religious, For Sports Fans",57000,116500,0.5,0.05
101 (tie),Westmont College,"Liberal Arts School, Private School",52800,116500,0.57,0.18
103,University of California-Davis,"Research University, For Sports Fans, State School",57700,116300,0.54,0.37
104,University of Rochester,"Private School, Research University",59700,116200,0.55,0.32
105 (tie),Case Western Reserve University,"Private School, Research University",64100,116100,0.48,0.37
105 (tie),College of William and Mary,"Research University, For Sports Fans, State School",55900,116100,0.49,0.2
107,Fordham University,"Private School, Religious, Research University, For Sports Fans",55500,115800,0.39,0.09
108,Hobart William Smith Colleges,"Liberal Arts School, Private School",53000,115700,0.49,0.15
109,Texas A & M University-College Station,"Research University, For Sports Fans, State School",58200,115300,0.54,0.3
110,University of Illinois at Urbana-Champaign,"Party School, Research University, For Sports Fans, State School",59800,115100,0.47,0.37
111 (tie),Southern Methodist University,"Private School, Religious, Research University, For Sports Fans",56900,114800,0.49,0.2
111 (tie),Tulane University of Louisiana,"Party School, Private School, Research University, For Sports Fans",54600,114800,0.45,0.18
113,Trinity College,"Liberal Arts School, Private School",57700,114700,0.5,0.18
114,Citadel Military College of South Carolina,"For Sports Fans, State School",57300,114600,0.66,0.18
115,Brigham Young University-Provo,"Private School, Religious, Research University, Sober School, For Sports Fans",57600,114400,0.61,0.25
116 (tie),South Dakota School of Mines and Technology,"Engineering, State School",64300,114300,0.59,0.92
116 (tie),Virginia Polytechnic Institute and State University,"Research University, For Sports Fans, State School",59400,114300,0.5,0.39
118,Saint Johns University,"Liberal Arts School, Private School, Religious",55800,114100,0.46,0.23
119 (tie),Kenyon College,"Liberal Arts School, Private School",53600,114000,0.52,0.17
119 (tie),SUNY at Binghamton,"Research University, For Sports Fans, State School",57700,114000,0.45,0.33
121,Hamilton College,"Liberal Arts School, Private School",60400,113800,0.52,0.28
122,DePauw University,"Liberal Arts School, Private School",54000,113500,0.53,0.23
123,Gettysburg College,"Liberal Arts School, Private School",53700,113000,0.42,0.23
124,University of Colorado Boulder,"Party School, Research University, For Sports Fans, State School",54500,112800,0.5,0.36
125 (tie),Reed College,"Liberal Arts School, Private School",53400,112700,0.55,0.26
125 (tie),Whitman College,"Liberal Arts School, Private School",52400,112700,0.51,0.38
127,Hampden-Sydney College,"Liberal Arts School, Private School",56700,112600,0.5,0.23
128 (tie),Stony Brook University,"Research University, For Sports Fans, State School",55300,112300,0.5,0.35
128 (tie),University of San Diego,"Private School, Religious, Research University, For Sports Fans",55300,112300,0.47,0.12
130,University of Richmond,"Liberal Arts School, Private School, For Sports Fans",56600,112100,0.44,0.14
131,Drexel University,"Private School, Research University, For Sports Fans",59200,112000,0.48,0.28
132,University of Washington-Seattle Campus,"Research University, For Sports Fans, State School",58500,111900,0.55,0.32
133 (tie),Hofstra University,"Private School, Research University, For Sports Fans",54000,111400,0.41,0.07
133 (tie),Rutgers University-New Brunswick,"Research University, For Sports Fans, State School",56600,111400,0.44,0.28
133 (tie),University of Michigan-Ann Arbor,"Research University, For Sports Fans, State School",60900,111400,0.48,0.38
136,Occidental College,"Liberal Arts School, Private School",53500,111300,0.52,0.25
137,San Jose State University,"For Sports Fans, State School",59000,110800,0.54,0.27
138 (tie),Barnard College,"Liberal Arts School, Private School",55000,110600,0.56,0.19
138 (tie),Providence College,"Private School, Religious, For Sports Fans",56500,110600,0.41,0.1
138 (tie),University of Maryland-College Park,"Research University, For Sports Fans, State School",58600,110600,0.51,0.32
141 (tie),California State Polytechnic University-Pomona,State School,54200,110500,0.52,0.28
141 (tie),Capitol Technology University,"Engineering, Private School",62300,110500,0.64,0.83
141 (tie),University of San Francisco,"Private School, Religious, Research University, For Sports Fans",57500,110500,0.56,0.06
141 (tie),University of the Pacific,"Private School, Research University, For Sports Fans",56500,110500,0.57,0.18
145 (tie),American University,"Private School, Religious, Research University, For Sports Fans",53000,110400,0.46,0.03
145 (tie),Wittenberg University,"Liberal Arts School, Private School, Religious",50600,110400,0.67,0.27
147,St John's University-New York,"Private School, Religious, Research University, For Sports Fans",52700,110300,0.45,0.07
148,The University of Texas at Austin,"Research University, For Sports Fans, State School",57900,110200,0.5,0.26
149,Oberlin College,"Liberal Arts School, Private School",50800,110000,0.54,0.23
150 (tie),University of California-Riverside,"Research University, For Sports Fans, State School",52600,109900,0.45,0.33
150 (tie),Wentworth Institute of Technology,Private School,59000,109900,0.52,0.35
152,Michigan Technological University,"Engineering, Research University, State School",63500,109800,0.5,0.77
153 (tie),Lake Forest College,"Liberal Arts School, Private School",52000,109300,0.5,0.23
153 (tie),Milwaukee School of Engineering,"Engineering, Private School",63800,109300,0.51,0.67
153 (tie),"University of St. Thomas - St Paul, MN","Private School, Religious, Research University",54100,109300,0.5,0.17
156 (tie),Bryant University,"Business, Private School, For Sports Fans",57300,109100,0.33,0.08
156 (tie),Saint Joseph's University,"Private School, Religious, For Sports Fans",54300,109100,0.43,0.04
158,Colby College,"Liberal Arts School, Private School",57100,108900,0.42,0.28
159,Gonzaga University,"Private School, Religious, For Sports Fans",55000,108800,0.5,0.17
160,Albion College,"Liberal Arts School, Private School, Religious",50000,108600,0.51,0.24
161 (tie),St Lawrence University,"Liberal Arts School, Private School",53400,108500,0.5,0.24
161 (tie),University of Massachusetts-Lowell,"Research University, For Sports Fans, State School",56400,108500,0.53,0.35
163,Purdue University-Main Campus,"Research University, For Sports Fans, State School",59000,108200,0.5,0.38
164,La Salle University,"Private School, Religious, For Sports Fans",52300,108100,0.42,0.05
165,Pace University-New York,"Private School, Research University",56000,108000,0.41,0.11
166,Marquette University,"Private School, Religious, Research University, For Sports Fans",55800,107900,0.55,0.24
167,Denison University,"Liberal Arts School, Private School",52400,107800,0.46,0.22
168,Vassar College,"Liberal Arts School, Private School",54500,107700,0.53,0.27
169,Connecticut College,"Liberal Arts School, Private School",54800,107600,0.42,0.27
170,Miami University-Oxford,"Research University, For Sports Fans, State School",54300,107300,0.46,0.18
171 (tie),Bryn Mawr College,"Liberal Arts School, Private School",52900,107200,0.54,0.19
171 (tie),George Mason University,"Research University, For Sports Fans, State School",55600,107200,0.49,0.22
173,Pepperdine University,"Private School, Religious, Research University, For Sports Fans",54800,106900,0.44,0.08
174,Bradley University,"Private School, For Sports Fans",52600,106700,0.46,0.38
175,Montana Tech of the University of Montana,"Engineering, State School",62500,106600,0.6,0.62
176 (tie),Catholic University of America,"Private School, Religious, Research University",53600,106400,0.58,0.14
176 (tie),Dickinson College,"Liberal Arts School, Private School",53900,106400,0.49,0.22
176 (tie),University of California-Santa Cruz,"Research University, State School",54300,106400,0.49,0.37
179,University of Scranton,"Private School, Religious",53400,106300,0.44,0.13
180 (tie),Furman University,"Liberal Arts School, Private School, For Sports Fans",49900,106200,0.54,0.16
180 (tie),Saint Anselm College,"Liberal Arts School, Private School, Religious",53900,106200,0.59,0.16
182,Syracuse University,"Party School, Private School, Research University, For Sports Fans",54800,106100,0.45,0.27
183,Ithaca College,Private School,49800,105800,0.46,0.08
184,Wagner College,"Private School, Religious, For Sports Fans",55200,105700,0.54,0.11
185,Wellesley College,"Liberal Arts School, Private School",55500,105600,0.57,0.29
186,Trinity University,"Private School, Religious",52700,105500,0.51,0.22
187 (tie),Lawrence Technological University,"Engineering, Private School",55300,105400,0.48,0.51
187 (tie),University of Delaware,"Party School, Research University, For Sports Fans, State School",55200,105400,0.46,0.22
189 (tie),Iona College,"Business, Private School, Religious, For Sports Fans",52600,105300,0.43,0.05
189 (tie),North Carolina State University at Raleigh,"Research University, For Sports Fans, State School",54800,105300,0.53,0.47
189 (tie),Northeastern University,"Private School, Research University, For Sports Fans",59200,105300,0.48,0.37
192 (tie),CUNY Bernard M Baruch College,"Business, Sober School, State School",55100,105200,0.37,0.07
192 (tie),University of Portland,"Private School, Religious, For Sports Fans",55700,105200,0.51,0.24
194,University of Dayton,"Private School, Religious, Research University, For Sports Fans",54500,104900,0.46,0.3
195,SUNY Downstate Medical Center,State School,62200,104800,0.89,0.01
196,University of Puerto Rico-Mayaguez,"Engineering, State School",60800,104700,0.53,0.57
197,University of Tulsa,"Private School, Religious, Research University, For Sports Fans",58100,104600,0.51,0.35
198 (tie),Muhlenberg College,"Liberal Arts School, Private School, Religious",51200,104500,0.43,0.22
198 (tie),Ohio Wesleyan University,"Liberal Arts School, Private School, Religious",48500,104500,0.47,0.17
200,Saint Michael's College,"Liberal Arts School, Private School, Religious",51100,104400,0.43,0.18
201 (tie),James Madison University,"For Sports Fans, State School",54200,104300,0.44,0.13
201 (tie),St Olaf College,"Liberal Arts School, Private School, Religious",50800,104300,0.55,0.32
203,"Westminster College - Fulton, MO","Liberal Arts School, Private School, Religious",49100,104200,0.56,0.27
204,St. John's College,"Liberal Arts School, Private School",53000,104100,N/A,0
205 (tie),SUNY at Albany,"Research University, For Sports Fans, State School",50700,103900,0.46,0.17
205 (tie),Stonehill College,"Liberal Arts School, Private School, Religious",52600,103900,0.41,0.17
205 (tie),The College of New Jersey,State School,55500,103900,0.47,0.15
205 (tie),Willamette University,"Liberal Arts School, Private School",49900,103900,0.54,0.12
209,Ursinus College,"Liberal Arts School, Private School",51700,103800,0.36,0.43
210 (tie),Embry-Riddle Aeronautical University-Daytona Beach,Private School,60700,103700,0.57,0.39
210 (tie),The New School,"Art, Private School, Research University",50500,103700,0.37,0
210 (tie),University of Alaska Fairbanks,"Research University, State School",56700,103700,0.59,0.19
213 (tie),Clemson University,"Research University, For Sports Fans, State School",55300,103500,0.52,0.37
213 (tie),Pennsylvania State University-Main Campus,"Research University, For Sports Fans, State School",56200,103500,0.48,0.35
213 (tie),University of Connecticut,"Research University, For Sports Fans, State School",56400,103500,0.5,0.24
216 (tie),Clark University,"Private School, Research University",49600,103400,0.48,0.14
216 (tie),University of Puget Sound,"Liberal Arts School, Private School",52300,103400,0.49,0.21
218,New York Institute of Technology,Private School,53300,103300,0.5,0.35
219,Universidad Metropolitana,Private School,51400,103000,0.59,0.02
220 (tie),University of Maryland-Baltimore County,"Research University, For Sports Fans, State School",55000,102900,0.5,0.44
220 (tie),University of Utah,"Research University, For Sports Fans, State School",52900,102900,0.58,0.21
222 (tie),California State University-Chico,State School,53200,102800,0.54,0.11
222 (tie),Florida Institute of Technology,"Engineering, Private School, Research University",56900,102800,0.55,0.51
222 (tie),Pratt Institute-Main,"Art, Private School",50300,102800,0.45,0
225 (tie),Auburn University,"Research University, For Sports Fans, State School",51500,102600,0.52,0.28
225 (tie),Smith College,"Liberal Arts School, Private School",50200,102600,0.55,0.23
227 (tie),DePaul University,"Private School, Religious, Research University, For Sports Fans",52100,102500,0.45,0.16
227 (tie),Texas Tech University,"Research University, For Sports Fans, State School",54300,102500,0.55,0.22
227 (tie),University of Illinois at Chicago,"Research University, For Sports Fans, State School",53700,102500,0.48,0.29
230 (tie),Merrimack College,"Private School, Religious",52900,102300,0.46,0.11
230 (tie),University of Massachusetts-Amherst,"Research University, For Sports Fans, State School",54500,102300,0.47,0.24
232,Skidmore College,"Liberal Arts School, Private School",51900,102200,0.41,0.21
233,University of Florida,"Party School, Research University, For Sports Fans, State School",54000,102100,0.52,0.27
234 (tie),Golden Gate University-San Francisco,"Business, Private School",56500,101900,0.5,0.02
234 (tie),Seattle University,"Private School, Religious, For Sports Fans",55700,101900,0.5,0.12
236 (tie),San Diego State University,"Research University, For Sports Fans, State School",51800,101800,0.53,0.17
236 (tie),Sarah Lawrence College,"Liberal Arts School, Private School",49200,101800,0.46,0
236 (tie),University of Wisconsin-Madison,"Party School, Research University, For Sports Fans, State School",54400,101800,0.52,0.32
236 (tie),West Virginia University Institute of Technology,State School,54700,101800,0.56,0.44
240 (tie),Manhattanville College,Private School,51300,101700,0.49,0.04
240 (tie),University of Washington-Bothell Campus,State School,56900,101700,0.51,0.23
242 (tie),Grinnell College,"Liberal Arts School, Private School",50900,101600,0.48,0.36
242 (tie),Presbyterian College,"Liberal Arts School, Private School, Religious, For Sports Fans",48500,101600,0.58,0.16
242 (tie),Rochester Institute of Technology,"Private School, Research University",59400,101600,0.45,0.47
245 (tie),Norwich University,Private School,55300,101400,0.53,0.19
245 (tie),University of Redlands,"Business, Private School",50700,101400,0.56,0.05
247 (tie),Baylor University,"Private School, Religious, Research University, Sober School, For Sports Fans",52900,101300,0.52,0.17
247 (tie),Wofford College,"Liberal Arts School, Private School, Religious, For Sports Fans",48800,101300,0.52,0.26
249 (tie),Grove City College,"Liberal Arts School, Private School, Religious, Sober School",50700,101200,0.52,0.3
249 (tie),Howard University,"Private School, Research University, For Sports Fans",53700,101200,0.58,0.12
251 (tie),John Carroll University,"Private School, Religious",49200,101100,0.41,0.16
251 (tie),University of Minnesota-Twin Cities,"Research University, For Sports Fans, State School",54000,101100,0.53,0.28
253,Seton Hall University,"Private School, Religious, Research University, For Sports Fans",54900,101000,0.48,0.08
254 (tie),Fashion Institute of Technology,State School,50300,100900,0.28,0
254 (tie),Michigan State University,"Research University, For Sports Fans, State School",52700,100900,0.49,0.19
254 (tie),Siena College,"Liberal Arts School, Private School, Religious, For Sports Fans",50600,100900,0.47,0.16
257 (tie),California State University-Long Beach,"For Sports Fans, State School",49700,100700,0.51,0.16
257 (tie),Touro College,Private School,55900,100700,0.58,0.07
257 (tie),Universidad Politecnica de Puerto Rico,"Engineering, Private School",52200,100700,N/A,0.67
257 (tie),University of Rhode Island,"Party School, Research University, For Sports Fans, State School",51700,100700,0.49,0.19
261 (tie),Kalamazoo College,"Liberal Arts School, Private School",50200,100600,0.58,0.39
261 (tie),University of Hartford,"Private School, Research University, For Sports Fans",52100,100600,0.55,0.18
263 (tie),Louisiana State University and Agricultural & Mechanical College,"Research University, For Sports Fans, State School",52700,100400,0.53,0.23
263 (tie),Rutgers University-Newark,"Research University, State School",55100,100400,0.47,0.09
263 (tie),University of Alabama in Huntsville,"Research University, State School",54800,100400,0.6,0.42
266 (tie),Lawrence University,"Liberal Arts School, Private School",48900,100300,0.63,0.21
266 (tie),Oregon State University,"Research University, For Sports Fans, State School",53000,100300,0.54,0.3
268 (tie),Polytechnic University of Puerto Rico-Miami,"Business, Private School",55900,100200,N/A,0.26
268 (tie),University of Denver,"Private School, Research University, For Sports Fans",53100,100200,0.49,0.12
270 (tie),California Lutheran University,"Private School, Religious",48500,100100,0.56,0.13
270 (tie),Coleman University,"Engineering, Private School",55800,100100,0.49,0.8
270 (tie),Rhodes College,"Liberal Arts School, Private School, Religious",50100,100100,0.45,0.3
270 (tie),Scripps College,"Liberal Arts School, Private School",52200,100100,0.49,0.24
270 (tie),The University of Texas at Dallas,"Research University, State School",54400,100100,0.43,0.43
275 (tie),Pitzer College,"Liberal Arts School, Private School",50900,99900,0.64,0.13
275 (tie),University of Houston,"Research University, For Sports Fans, State School",53700,99900,0.51,0.22
277 (tie),University of Arizona,"Research University, For Sports Fans, State School",53600,99800,0.54,0.24
277 (tie),Washington State University,"Research University, For Sports Fans, State School",52900,99800,0.51,0.2
279 (tie),Susquehanna University,"Liberal Arts School, Private School, Religious",48600,99700,0.42,0.16
279 (tie),University of New Hampshire-Main Campus,"Research University, For Sports Fans, State School",51500,99700,0.53,0.21
279 (tie),University of North Carolina at Chapel Hill,"Research University, For Sports Fans, State School",52700,99700,0.51,0.18
282 (tie),Colorado College,"Liberal Arts School, Private School",50800,99600,0.54,0.28
282 (tie),Drake University,"Private School, For Sports Fans",50200,99600,0.49,0.09
282 (tie),Seattle Pacific University,"Private School, Religious, Research University",49600,99600,0.55,0.1
282 (tie),University of Iowa,"Party School, Research University, For Sports Fans, State School",51600,99600,0.49,0.15
286 (tie),Art Center College of Design,"Art, Private School",58900,99400,0.41,0.04
286 (tie),University of Georgia,"Research University, For Sports Fans, State School",51100,99400,0.47,0.12
288 (tie),Arizona State University-Tempe,"Research University, For Sports Fans, State School",52300,99300,0.52,0.3
288 (tie),California State University-Fullerton,"Research University, For Sports Fans, State School",48000,99300,0.49,0.14
288 (tie),Saint Peter's University,"Private School, Religious, For Sports Fans",52300,99300,0.35,0.12
288 (tie),University of California-San Francisco,State School,54700,99300,N/A,0.17
288 (tie),"Wheaton College - Wheaton, IL","Liberal Arts School, Private School, Religious, Sober School",50700,99300,0.65,0.15
293 (tie),Macalester College,"Liberal Arts School, Private School, Religious",51000,99100,0.53,0.33
293 (tie),Rider University,"Private School, For Sports Fans",49600,99100,0.44,0.04
295,Felician University,"Private School, Religious",51900,99000,0.51,0.1
296 (tie),Morehouse College,"Liberal Arts School, Private School",53000,98800,0.55,0.29
296 (tie),University of Missouri-Columbia,"Research University, For Sports Fans, State School",50300,98800,0.52,0.17
296 (tie),University of Vermont,"Party School, Research University, For Sports Fans, State School",50400,98800,0.53,0.21
296 (tie),"Wheaton College - Norton, MA","Liberal Arts School, Private School",50400,98800,0.5,0.26
300 (tie),Austin College,"Liberal Arts School, Private School, Religious",51000,98600,0.54,0.22
300 (tie),Butler University,"Private School, For Sports Fans",49600,98600,0.53,0.09
300 (tie),Iowa State University,"Research University, For Sports Fans, State School",53400,98600,0.49,0.32
303,Hampshire College,"Liberal Arts School, Private School",47500,98400,0.54,0.15
304 (tie),Allegheny College,"Liberal Arts School, Private School, Religious",48500,98300,0.46,0.38
304 (tie),The University of Texas Health Science Center at Houston,State School,62800,98300,0.77,0.14
304 (tie),University of Oklahoma-Norman Campus,"Research University, For Sports Fans, State School",53000,98300,0.55,0.21
307,California State University-Sacramento,"For Sports Fans, State School",51400,98200,0.53,0.12
308,Marist College,"Private School, For Sports Fans",52300,98100,0.32,0.16
309 (tie),Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans",52100,97900,0.41,0.11
309 (tie),Oregon Institute of Technology,State School,59500,97900,0.56,0.24
311 (tie),Goucher College,"Liberal Arts School, Private School",48300,97800,0.53,0.07
311 (tie),San Francisco State University,"Research University, State School",53300,97800,0.5,0.13
313,University of Kansas,"Party School, Research University, For Sports Fans, State School",50500,97600,0.53,0.17
314,West Virginia University,"Party School, Research University, For Sports Fans, State School",51700,97500,0.55,0.22
315 (tie),California State University-Northridge,"For Sports Fans, State School",48500,97400,0.51,0.11
315 (tie),Centre College,"Liberal Arts School, Private School, Religious",48800,97400,0.57,0.27
315 (tie),University of Dallas,"Business, Private School, Religious",51200,97400,0.57,0.12
318 (tie),Indiana University-Bloomington,"Research University, For Sports Fans, State School",51300,97300,0.5,0.15
318 (tie),Linfield College-Online and Continuing Education,"Private School, Religious",50500,97300,N/A,0
318 (tie),Ramapo College of New Jersey,State School,48700,97300,0.42,0.11
321,California State University-East Bay,State School,54200,97200,0.52,0.12
322 (tie),Assumption College,"Private School, Religious",51500,97100,0.49,0.12
322 (tie),Monmouth University,"Private School, For Sports Fans",49100,97100,0.45,0.1
322 (tie),Ohio Northern University,"Private School, Religious",51900,97100,0.51,0.2
322 (tie),Rush University,Private School,62100,97100,0.85,0.06
322 (tie),University of Michigan-Dearborn,State School,53400,97100,0.38,0.33
327 (tie),California College of the Arts,"Art, Private School",52700,97000,0.47,0
327 (tie),Chapman University,"Private School, Religious",50100,97000,0.47,0.05
327 (tie),Rhode Island School of Design,"Art, Private School",50700,97000,0.4,0
327 (tie),University of Pittsburgh-Pittsburgh Campus,"Research University, For Sports Fans, State School",53100,97000,0.51,0.25
331 (tie),Southern California Institute of Architecture,Private School,51200,96900,0.66,0
331 (tie),Texas Christian University,"Private School, Religious, Research University, For Sports Fans",53900,96900,0.54,0.08
333 (tie),McDaniel College,"Liberal Arts School, Private School",49200,96800,0.53,0.06
333 (tie),Western Washington University,State School,51100,96800,0.48,0.14
335,Western New England University,Private School,54400,96700,0.48,0.2
336,University of Oklahoma-Health Sciences Center,State School,55500,96600,0.7,0.03
337,Pacific Lutheran University,"Private School, Religious",50700,96500,0.57,0.17
338 (tie),Gustavus Adolphus College,"Liberal Arts School, Private School, Religious",49300,96400,0.5,0.23
338 (tie),Notre Dame de Namur University,"Private School, Religious",53900,96400,0.52,0.1
338 (tie),University at Buffalo,"Research University, For Sports Fans, State School",51300,96400,0.48,0.32
338 (tie),Valparaiso University,"Private School, Religious, For Sports Fans",52200,96400,0.56,0.28
342 (tie),Oklahoma State University-Main Campus,"Research University, For Sports Fans, State School",50600,96300,0.55,0.24
342 (tie),University of Miami,"Private School, Research University, For Sports Fans",54700,96300,0.5,0.22
344 (tie),Quinnipiac University,"Private School, For Sports Fans",53100,96200,0.45,0.12
344 (tie),University of Mary Washington,State School,51400,96200,0.49,0.18
346 (tie),Montclair State University,"Research University, State School",47800,96100,0.43,0.09
346 (tie),St Mary's College of Maryland,"Liberal Arts School, State School",51000,96100,0.43,0.28
348,Utah State University,"Research University, For Sports Fans, State School",51000,96000,0.6,0.14
349 (tie),St Bonaventure University,"Private School, Religious, For Sports Fans",46900,95900,0.4,0.08
349 (tie),University of Maryland-University College,State School,53800,95900,0.58,0.26
349 (tie),University of Oregon,"Research University, For Sports Fans, State School",48500,95900,0.47,0.13
352 (tie),Spring Hill College,"Liberal Arts School, Private School, Religious",45400,95800,0.47,0.12
352 (tie),Taylor University,"Private School, Religious",45600,95800,0.62,0.16
354 (tie),CUNY Queens College,"Sober School, State School",49500,95700,0.45,0.07
354 (tie),College of Staten Island CUNY,State School,49200,95700,0.47,0.09
354 (tie),Illinois Wesleyan University,"Liberal Arts School, Private School",50700,95700,0.44,0.22
354 (tie),Loma Linda University,"Private School, Religious",66800,95700,0.8,0.04
354 (tie),Louisiana Tech University,"Research University, For Sports Fans, State School",51000,95700,0.59,0.2
354 (tie),St. Mary's University,"Private School, Religious",49400,95700,0.6,0.2
354 (tie),University of Cincinnati-Main Campus,"Research University, For Sports Fans, State School",51500,95700,0.5,0.18
354 (tie),The University of Texas Medical Branch,State School,60800,95700,0.86,0.03
362,New Mexico State University-Main Campus,"Research University, For Sports Fans, State School",48900,95600,0.62,0.21
363 (tie),CUNY Brooklyn College,State School,48900,95400,0.46,0.08
363 (tie),Hartwick College,"Liberal Arts School, Private School",50100,95400,0.62,0.26
363 (tie),Ohio State University-Main Campus,"Research University, For Sports Fans, State School",52700,95400,0.5,0.26
366 (tie),Lewis & Clark College,"Liberal Arts School, Private School",48200,95300,0.54,0.1
366 (tie),North Dakota State University-Main Campus,"Research University, For Sports Fans, State School",52000,95300,0.57,0.25
366 (tie),Pennsylvania State University-Penn State Harrisburg,State School,53100,95300,0.5,0.27
369,Loyola University Chicago,"Private School, Religious, Research University, For Sports Fans",50700,95200,0.48,0.15
370 (tie),Pennsylvania State University-Penn State Erie-Behrend College,State School,55900,95100,0.44,0.28
370 (tie),The University of Texas at Arlington,"Research University, For Sports Fans, State School",52700,95100,0.56,0.21
372 (tie),Colorado State University-Fort Collins,"Research University, For Sports Fans, State School",50500,95000,0.53,0.26
372 (tie),Sacred Heart University,"Private School, Religious, For Sports Fans",54000,95000,0.47,0.16
374 (tie),California State University-Fresno,"Research University, For Sports Fans, State School",48600,94900,0.58,0.1
374 (tie),Hendrix College,"Liberal Arts School, Private School, Religious",48100,94900,0.6,0.28
376 (tie),Drew University,"Liberal Arts School, Private School, Religious",50700,94800,0.49,0.14
376 (tie),University of Wisconsin-Platteville,State School,54100,94800,0.52,0.33
