Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
923 (tie),The University of the Arts,"Art, Private School",44600,79500,0.39,0
927 (tie),Ferrum College,"Private School, Religious",42600,79400,0.59,0.08
927 (tie),Minneapolis College of Art and Design,"Art, Private School",43600,79400,0.37,0
927 (tie),University of Mary Hardin-Baylor,"Private School, Religious",46700,79400,0.66,0.26
927 (tie),University of the Virgin Islands,State School,44800,79400,N/A,0.14
931 (tie),Mercy College,Private School,44900,79300,0.53,0.03
931 (tie),Misericordia University,"Private School, Religious",45800,79300,0.59,0.05
931 (tie),The New England Conservatory of Music,"Art, Private School",43800,79300,N/A,0
931 (tie),Oklahoma City University,"Private School, Religious",46700,79300,0.58,0.08
935,Salem State University,State School,46200,79200,0.55,0.08
936 (tie),Antioch University-Seattle,Private School,46600,79100,N/A,0
936 (tie),Cameron University,State School,41600,79100,0.59,0.13
936 (tie),Charter Oak State College,"Liberal Arts School, State School",48400,79100,0.68,0
939 (tie),Berklee College of Music,"Art, Private School",45100,79000,0.5,0
939 (tie),Elmira College,"Liberal Arts School, Private School",46800,79000,0.6,0.08
939 (tie),Kutztown University of Pennsylvania,State School,43000,79000,0.49,0.07
939 (tie),Manchester University,"Private School, Religious",45100,79000,0.6,0.08
939 (tie),Nazareth College,Private School,42500,79000,0.57,0.06
939 (tie),School of the Art Institute of Chicago,"Art, Private School",45200,79000,0.43,0
939 (tie),University of Southern Mississippi,"Research University, For Sports Fans, State School",43700,79000,0.59,0.1
939 (tie),Viterbo University,"Private School, Religious",46900,79000,0.7,0.02
947,Colorado Christian University,"Private School, Religious",45600,78900,0.66,0.01
948 (tie),New Jersey City University,State School,47400,78800,0.5,0.08
948 (tie),Palm Beach Atlantic University,"Private School, Religious",44100,78800,0.62,0.04
948 (tie),University of Wisconsin-River Falls,State School,45200,78800,0.51,0.13
951 (tie),Eastern Kentucky University,"For Sports Fans, State School",43200,78700,0.59,0.05
951 (tie),Franklin University,"Business, Private School",46100,78700,0.48,0.07
951 (tie),Illinois College,"Liberal Arts School, Private School, Religious",43800,78700,0.57,0.33
951 (tie),Trinity International University-Illinois,"Private School, Religious, Research University",43900,78700,0.47,0.01
951 (tie),University of Central Missouri,State School,45200,78700,0.57,0.37
951 (tie),Warner Pacific College,"Private School, Religious",44700,78700,0.56,0.08
957 (tie),Cleary University,"Business, Private School",44400,78600,0.48,0.02
957 (tie),Concordia College-New York,"Private School, Religious",46700,78600,0.59,0.04
957 (tie),"Marian University - Fond Du Lac, WI","Private School, Religious",47200,78600,0.56,0.04
957 (tie),Olivet College,"Private School, Religious",44100,78600,0.52,0.13
957 (tie),Southern Connecticut State University,State School,47400,78600,0.53,0.06
962 (tie),Anna Maria College,"Private School, Religious",43100,78500,0.54,0
962 (tie),Bridgewater College,"Liberal Arts School, Private School, Religious",42700,78500,0.52,0.18
962 (tie),Mercer University,"Private School, Research University, For Sports Fans",48200,78500,0.65,0.12
962 (tie),St Catherine University,"Private School, Religious",48000,78500,0.67,0.02
966 (tie),Arkansas State University-Main Campus,"For Sports Fans, State School",43900,78400,0.53,0.05
966 (tie),Colby-Sawyer College,Private School,44500,78400,0.5,0.09
966 (tie),University of Puerto Rico-Medical Sciences,State School,44900,78400,0.54,0.05
966 (tie),The University of West Florida,"Research University, State School",43100,78400,0.57,0.12
966 (tie),University of Wisconsin-Parkside,"Liberal Arts School, State School",44100,78400,0.49,0.13
971 (tie),Capital University,"Private School, Religious",46000,78300,0.62,0.06
971 (tie),St Thomas University,"Private School, Religious",44400,78300,0.57,0.04
971 (tie),University of Pittsburgh-Greensburg,"Liberal Arts School, State School",42300,78300,0.45,0.24
971 (tie),University of Southern Indiana,State School,43900,78300,0.52,0.08
975 (tie),Brescia University,"Private School, Religious",42500,78200,N/A,0.05
975 (tie),Everglades University,Private School,45400,78200,0.55,0
975 (tie),SUNY at Fredonia,State School,42900,78200,0.48,0.09
975 (tie),Shenandoah University,"Private School, Religious, Research University",46300,78200,0.57,0.06
975 (tie),Westfield State University,State School,45000,78200,0.49,0.07
980 (tie),Barry University,"Private School, Religious, Research University",47600,78100,0.66,0.12
980 (tie),Jacksonville State University,"For Sports Fans, State School",42400,78100,0.6,0.08
980 (tie),Plymouth State University,State School,44400,78100,0.51,0.05
980 (tie),Saint Leo University,"Private School, Religious",45000,78100,0.62,0.05
980 (tie),The University of Tennessee-Chattanooga,"For Sports Fans, State School",44700,78100,0.57,0.17
980 (tie),Western Oregon University,State School,42900,78100,0.49,0.06
986 (tie),High Point University,"Private School, Religious, For Sports Fans",45400,78000,0.5,0.1
986 (tie),Pennsylvania State University-Penn State Altoona,State School,48100,78000,0.51,0.27
